,title,genre,language,awards,metascore,boxoffice,production,imdbrating,imdbvotes,imdbid
182,Mike Birbiglia: The New One,Comedy,English,N/A,N/A,N/A,N/A,7.7,898,tt11163014
183,Super Monsters Save Christmas,"Animation, Short, Family, Fantasy",N/A,N/A,N/A,N/A,N/A,4.3,38,tt11193860
184,Harold and Lillian: A Hollywood Love Story,"Documentary, Biography",English,1 nomination.,75,N/A,Adama Films,7.9,554,tt4683668
186,Michael Che Matters,Comedy,English,N/A,N/A,N/A,Netflix,7.1,"1,737",tt6209400
187,Awake,"Crime, Drama, Mystery, Thriller","English, Japanese",1 win & 3 nominations.,33,"$14,296,153",MGM,6.5,"70,890",tt0211933
188,Shot Caller,"Crime, Drama, Thriller",English,1 nomination.,59,N/A,Saban Films,7.3,"65,402",tt4633690
189,Bushwick,"Action, Adventure, Drama, Romance, Thriller",English,2 nominations.,44,N/A,RLJ Entertainment,5.2,"8,450",tt4720702
190,End of Watch,"Action, Crime, Drama, Thriller","English, Spanish",3 wins & 10 nominations.,68,"$39,100,000",Open Road Films,7.6,"219,276",tt1855199
191,Shelby American,"Documentary, Biography, Family, History, Sport",English,N/A,N/A,N/A,N/A,7.5,200,tt10922508
192,The Christmas Chronicles,"Adventure, Comedy, Family, Fantasy","English, Spanish, French, Romanian",2 nominations.,52,N/A,Netflix,7.1,"42,071",tt2990140
193,Barbra: The Music... The Mem'ries... The Magic!,Music,English,N/A,N/A,N/A,N/A,7.5,327,tt7588584
194,Mercy,"Horror, Thriller",English,N/A,N/A,N/A,Universal Pictures,5.0,"4,731",tt2481496
195,The Knight Before Christmas,"Adventure, Comedy, Drama, Fantasy, Romance",English,N/A,N/A,N/A,N/A,5.5,"11,319",tt10060094
196,De Palma,"Documentary, Biography",English,1 win & 4 nominations.,83,"$163,359",Empire Ward,7.4,"4,467",tt1683048
197,Brian Regan: Nunchucks and Flamethrowers,"Documentary, Comedy",English,N/A,N/A,N/A,Netflix,6.1,403,tt7679532
198,Saving Capitalism,Documentary,English,1 nomination.,N/A,N/A,Netflix,6.8,"2,100",tt6185286
199,The Case for Christ,"Biography, Drama",English,4 nominations.,50,"$14,678,714",Pure Flix,6.2,"7,037",tt6113488
200,Be Somebody,"Comedy, Drama, Romance",English,N/A,N/A,N/A,Studio 71,5.6,"3,356",tt5512872
201,"Bikram: Yogi, Guru, Predator","Documentary, Crime",English,1 nomination.,68,N/A,N/A,6.7,"3,854",tt10883004
202,Dream/Killer,"Documentary, Crime",English,1 win.,N/A,N/A,N/A,7.5,636,tt4504438
203,She's Out of My League,"Comedy, Romance","English, Ukrainian",1 nomination.,46,"$28,712,974",Paramount,6.4,"121,462",tt0815236
